id_auditoria,id_contratista,id_medidor,fecha_auditoria,tipo_trabajo,cumple_estandar,observaciones
AU-0134,CT-09,MD-01162,2025-05-22,Cambio de Medidor,1,
AU-0135,CT-05,MD-01499,2025-08-02,Verificación Metrológica,0,Medidor mal nivelado
AU-0136,CT-01,MD-00997,2025-04-16,Cambio de Medidor,1,
AU-0137,CT-02,MD-01220,2025-09-25,Instalación Nueva,1,
AU-0138,CT-08,MD-00854,2025-04-22,Cambio de Medidor,1,
AU-0139,CT-03,MD-00964,2025-05-22,Instalación Nueva,1,
AU-0140,CT-06,MD-01190,2025-10-20,Verificación Metrológica,0,Medidor mal nivelado
AU-0141,CT-06,MD-00461,2025-05-31,Verificación Metrológica,1,
AU-0142,CT-08,MD-01048,2025-09-18,Cambio de Medidor,1,
AU-0143,CT-08,MD-00355,2025-04-17,Instalación Nueva,1,
AU-0144,CT-09,MD-00898,2025-12-10,Cambio de Medidor,1,
AU-0145,CT-10,MD-00884,2025-04-16,Instalación Nueva,1,
AU-0146,CT-01,MD-01047,2025-09-30,Verificación Metrológica,1,
AU-0147,CT-03,MD-00767,2025-09-16,Cambio de Medidor,1,
AU-0148,CT-06,MD-00779,2025-03-05,Verificación Metrológica,1,
AU-0149,CT-01,MD-00155,2025-07-25,Revisión por Reclamo,1,
AU-0150,CT-10,MD-00400,2025-02-19,Revisión por Reclamo,1,
AU-0151,CT-06,MD-00995,2025-11-23,Cambio de Medidor,1,
AU-0152,CT-02,MD-00598,2025-10-26,Cambio de Medidor,1,
AU-0153,CT-10,MD-01483,2025-07-28,Verificación Metrológica,1,
AU-0154,CT-04,MD-00319,2025-04-29,Cambio de Medidor,1,
AU-0155,CT-08,MD-00982,2025-01-20,Instalación Nueva,1,
AU-0156,CT-01,MD-01453,2025-04-17,Cambio de Medidor,1,
AU-0157,CT-01,MD-01348,2025-01-29,Revisión por Reclamo,1,
AU-0158,CT-02,MD-00328,2025-08-04,Verificación Metrológica,1,
AU-0159,CT-05,MD-00901,2025-09-13,Revisión por Reclamo,1,
AU-0160,CT-01,MD-01466,2025-02-05,Revisión por Reclamo,1,
AU-0161,CT-09,MD-01349,2025-05-26,Instalación Nueva,0,Precinto de seguridad faltante
AU-0162,CT-10,MD-01051,2025-02-06,Verificación Metrológica,1,
AU-0163,CT-03,MD-00968,2025-08-30,Cambio de Medidor,1,
AU-0164,CT-09,MD-01393,2025-05-14,Cambio de Medidor,1,
AU-0165,CT-08,MD-00883,2025-08-11,Verificación Metrológica,1,
AU-0166,CT-07,MD-00294,2025-08-29,Revisión por Reclamo,1,
AU-0167,CT-09,MD-01495,2025-02-02,Cambio de Medidor,1,
AU-0168,CT-02,MD-00496,2025-01-21,Cambio de Medidor,1,
AU-0169,CT-03,MD-00877,2025-09-20,Verificación Metrológica,0,Precinto de seguridad faltante
AU-0170,CT-03,MD-01040,2025-10-20,Verificación Metrológica,1,
AU-0171,CT-02,MD-00733,2025-09-02,Cambio de Medidor,1,
AU-0172,CT-04,MD-01281,2025-07-03,Instalación Nueva,1,
AU-0173,CT-09,MD-00256,2025-02-16,Instalación Nueva,1,
AU-0174,CT-10,MD-00485,2025-08-20,Cambio de Medidor,1,
AU-0175,CT-01,MD-00834,2025-02-16,Revisión por Reclamo,1,
AU-0176,CT-05,MD-00027,2025-09-15,Instalación Nueva,1,
AU-0177,CT-06,MD-00796,2025-05-21,Verificación Metrológica,0,Medidor mal nivelado
AU-0178,CT-01,MD-00904,2025-02-19,Revisión por Reclamo,1,
AU-0179,CT-02,MD-00223,2025-10-14,Revisión por Reclamo,1,
AU-0180,CT-09,MD-00991,2025-11-18,Verificación Metrológica,0,Documentación incompleta
AU-0181,CT-01,MD-00877,2025-02-22,Instalación Nueva,1,
AU-0182,CT-09,MD-00126,2025-01-30,Cambio de Medidor,0,No se registró lectura inicial
AU-0183,CT-01,MD-00455,2025-10-10,Revisión por Reclamo,1,
AU-0184,CT-10,MD-00258,2025-05-04,Cambio de Medidor,1,
AU-0185,CT-06,MD-00773,2025-08-11,Revisión por Reclamo,1,
AU-0186,CT-08,MD-00704,2025-03-01,Instalación Nueva,1,
AU-0187,CT-04,MD-01225,2025-09-30,Verificación Metrológica,1,
AU-0188,CT-10,MD-01432,2025-10-18,Instalación Nueva,1,
AU-0189,CT-01,MD-01115,2025-07-17,Cambio de Medidor,1,
AU-0190,CT-09,MD-00303,2025-05-13,Cambio de Medidor,1,
AU-0191,CT-07,MD-01174,2025-02-20,Revisión por Reclamo,1,
AU-0192,CT-08,MD-00574,2025-07-04,Cambio de Medidor,1,
AU-0193,CT-08,MD-01435,2025-08-08,Revisión por Reclamo,1,
AU-0194,CT-04,MD-00519,2025-06-22,Verificación Metrológica,1,
AU-0195,CT-01,MD-01196,2025-10-06,Cambio de Medidor,1,
AU-0196,CT-04,MD-01059,2025-09-04,Instalación Nueva,1,
AU-0197,CT-03,MD-00302,2025-09-17,Instalación Nueva,1,
AU-0198,CT-01,MD-00087,2025-01-04,Instalación Nueva,1,
AU-0199,CT-07,MD-00006,2025-07-17,Instalación Nueva,1,
AU-0200,CT-03,MD-00994,2025-02-18,Revisión por Reclamo,1,
AU-0201,CT-04,MD-00298,2025-10-06,Revisión por Reclamo,1,
AU-0202,CT-02,MD-00484,2025-08-09,Cambio de Medidor,0,Medidor mal nivelado
AU-0203,CT-09,MD-00654,2025-11-23,Cambio de Medidor,1,
AU-0204,CT-06,MD-00214,2025-08-09,Verificación Metrológica,1,
AU-0205,CT-08,MD-00482,2025-06-21,Cambio de Medidor,0,No se registró lectura inicial
AU-0206,CT-07,MD-00829,2025-09-22,Instalación Nueva,1,
AU-0207,CT-03,MD-01032,2025-07-11,Cambio de Medidor,1,
AU-0208,CT-01,MD-00708,2025-06-08,Cambio de Medidor,1,
AU-0209,CT-03,MD-00398,2025-09-02,Cambio de Medidor,0,Medidor mal nivelado
AU-0210,CT-08,MD-00361,2025-02-24,Revisión por Reclamo,0,No se registró lectura inicial
