id_medidor,id_cliente,marca,diametro_mm,fecha_instalacion,antiguedad_anios,fecha_ultima_verificacion_metrologica,requiere_verificacion,estado_medidor
MD-00025,CL-00025,Zenner,15,2021-11-24,4,2022-09-23,False,Activo
MD-00026,CL-00026,Elster,13,2017-12-01,8,2024-03-13,False,Activo
MD-00027,CL-00027,Zenner,25,2019-01-09,6,2022-08-21,False,Activo
MD-00028,CL-00028,Actaris,15,2016-04-09,9,2022-12-07,False,Activo
MD-00029,CL-00029,Sensus,13,2020-06-17,5,2025-02-27,False,Activo
MD-00030,CL-00030,Zenner,15,2020-02-03,5,2022-12-24,False,Activo
MD-00031,CL-00031,Zenner,13,2011-09-15,14,2020-10-13,True,Activo
MD-00032,CL-00032,Itron,15,2017-11-26,8,2024-03-12,False,Activo
MD-00033,CL-00033,Elster,13,2025-11-25,0,,False,Activo
MD-00034,CL-00034,Elster,19,2022-08-07,3,2024-08-17,False,Activo
MD-00035,CL-00035,Elster,13,2011-04-15,14,2023-09-07,False,Activo
MD-00036,CL-00036,Sensus,13,2021-11-16,4,2021-12-12,False,Activo
MD-00037,CL-00037,Sensus,15,2013-02-03,12,2022-04-07,False,Activo
MD-00038,CL-00038,Sensus,19,2024-07-10,1,,False,Activo
MD-00039,CL-00039,Actaris,15,2023-04-27,2,,False,Activo
MD-00040,CL-00040,Elster,13,2023-10-06,2,,False,Activo
MD-00041,CL-00041,Sensus,13,2015-08-19,10,2022-02-19,False,Activo
MD-00042,CL-00042,Elster,13,2013-06-11,12,2020-08-23,True,Activo
MD-00043,CL-00043,Actaris,15,2014-12-01,11,2024-10-26,False,Activo
MD-00044,CL-00044,Sensus,15,2018-11-21,7,2021-06-14,False,Activo
MD-00045,CL-00045,Sensus,13,2015-11-06,10,2026-02-27,False,Activo
MD-00046,CL-00046,Actaris,15,2024-12-11,1,,False,Activo
MD-00047,CL-00047,Itron,15,2024-02-22,1,,False,Activo
MD-00048,CL-00048,Actaris,13,2013-04-22,12,2025-07-30,False,Activo
MD-00049,CL-00049,Elster,15,2018-04-15,7,2026-03-18,False,Activo
MD-00050,CL-00050,Elster,13,2012-06-18,13,2026-06-17,False,Activo
MD-00051,CL-00051,Actaris,13,2020-05-16,5,2022-10-26,False,Activo
MD-00052,CL-00052,Sensus,19,2016-12-21,9,2024-10-25,False,Activo
MD-00053,CL-00053,Itron,19,2013-04-19,12,2021-09-19,False,Activo
MD-00054,CL-00054,Zenner,13,2025-04-12,0,,False,Activo
MD-00055,CL-00055,Actaris,15,2016-07-25,9,2023-04-17,False,Activo
MD-00056,CL-00056,Elster,19,2016-04-24,9,2021-09-28,False,Activo
MD-00057,CL-00057,Zenner,15,2012-07-05,13,2024-09-15,False,Activo
MD-00058,CL-00058,Elster,13,2025-10-26,0,,False,Activo
MD-00059,CL-00059,Itron,19,2013-09-06,12,2021-04-20,False,Activo
MD-00060,CL-00060,Actaris,15,2019-06-09,6,2021-01-25,False,Activo
MD-00061,CL-00061,Itron,13,2025-12-23,0,,False,Activo
MD-00062,CL-00062,Actaris,13,2011-06-09,14,2020-12-29,True,Activo
MD-00063,CL-00063,Actaris,13,2019-04-15,6,2022-02-02,False,Activo
MD-00064,CL-00064,Actaris,15,2018-05-02,7,2026-06-12,False,Activo
MD-00065,CL-00065,Elster,13,2024-06-22,1,,False,Activo
MD-00066,CL-00066,Itron,13,2012-11-10,13,2024-10-04,False,Activo
MD-00067,CL-00067,Zenner,13,2016-12-19,9,2023-04-17,False,Activo
MD-00068,CL-00068,Itron,13,2016-12-11,9,2022-09-17,False,Activo
MD-00069,CL-00069,Itron,15,2012-12-24,13,2022-03-31,False,Activo
MD-00070,CL-00070,Itron,15,2011-01-01,14,2024-07-27,False,Activo
MD-00071,CL-00071,Actaris,13,2018-10-01,7,2023-01-25,False,Activo
MD-00072,CL-00072,Sensus,13,2023-06-01,2,,False,Activo
MD-00073,CL-00073,Actaris,13,2011-01-21,14,2025-02-10,False,Activo
MD-00074,CL-00074,Actaris,13,2018-10-17,7,2022-07-19,False,Activo
MD-00075,CL-00075,Sensus,13,2025-03-07,0,,False,Activo
MD-00076,CL-00076,Elster,19,2021-01-17,4,2025-04-09,False,Activo
MD-00077,CL-00077,Actaris,15,2015-03-15,10,2024-01-23,False,Activo
MD-00078,CL-00078,Elster,15,2016-12-16,9,2021-01-13,False,Activo
MD-00079,CL-00079,Elster,13,2017-08-24,8,2026-03-17,False,Activo
MD-00080,CL-00080,Zenner,13,2020-09-19,5,2020-10-05,True,Activo
MD-00081,CL-00081,Actaris,13,2017-07-14,8,2024-10-02,False,Activo
MD-00082,CL-00082,Itron,13,2024-09-13,1,,False,Activo
MD-00083,CL-00083,Sensus,19,2012-09-08,13,2020-10-20,True,Activo
MD-00084,CL-00084,Zenner,13,2024-08-22,1,,False,Activo
MD-00085,CL-00085,Zenner,13,2018-04-15,7,2022-12-03,False,Activo
MD-00086,CL-00086,Actaris,19,2025-02-02,0,,False,Activo
MD-00087,CL-00087,Sensus,13,2011-04-27,14,2025-07-06,False,Activo
MD-00088,CL-00088,Itron,15,2023-03-22,2,,False,Activo
MD-00089,CL-00089,Itron,15,2022-11-20,3,2021-06-12,False,Activo
MD-00090,CL-00090,Sensus,15,2015-11-11,10,2020-08-04,True,Activo
MD-00091,CL-00091,Actaris,13,2025-09-02,0,,False,Activo
MD-00092,CL-00092,Elster,15,2017-04-08,8,2023-07-25,False,Activo
MD-00093,CL-00093,Zenner,13,2021-07-26,4,2021-05-06,False,Activo
MD-00094,CL-00094,Actaris,13,2021-03-12,4,2022-08-19,False,Activo
MD-00095,CL-00095,Actaris,13,2014-09-06,11,2023-12-21,False,Activo
MD-00096,CL-00096,Sensus,19,2019-03-21,6,2021-10-16,False,Activo
MD-00097,CL-00097,Sensus,13,2021-05-22,4,2022-02-09,False,Activo
MD-00098,CL-00098,Itron,13,2013-11-22,12,2023-05-09,False,Activo
MD-00099,CL-00099,Zenner,15,2013-11-02,12,2022-07-23,False,Activo
MD-00100,CL-00100,Sensus,13,2015-01-26,10,2023-04-10,False,Activo
MD-00101,CL-00101,Sensus,25,2023-10-23,2,,False,Activo
MD-00102,CL-00102,Itron,25,2025-06-25,0,,False,Activo
MD-00103,CL-00103,Zenner,13,2012-01-13,13,2023-11-17,False,Activo
MD-00104,CL-00104,Sensus,15,2012-11-04,13,2025-08-30,False,Activo
MD-00105,CL-00105,Zenner,15,2011-04-23,14,2021-11-11,False,Activo
MD-00106,CL-00106,Zenner,13,2022-12-01,3,2022-04-10,False,Activo
MD-00107,CL-00107,Actaris,19,2021-06-06,4,2023-07-17,False,Activo
MD-00108,CL-00108,Sensus,15,2023-05-24,2,,False,Activo
MD-00109,CL-00109,Itron,13,2017-08-14,8,2021-10-12,False,Activo
MD-00110,CL-00110,Actaris,19,2011-07-08,14,2023-06-29,False,Activo
MD-00111,CL-00111,Elster,15,2024-08-11,1,,False,Activo
MD-00112,CL-00112,Zenner,13,2020-11-20,5,2021-01-27,False,Activo
MD-00113,CL-00113,Itron,38,2011-11-10,14,2021-08-29,False,Activo
MD-00114,CL-00114,Zenner,19,2023-01-03,2,,False,Activo
MD-00115,CL-00115,Itron,13,2021-03-22,4,2022-03-29,False,Activo
MD-00116,CL-00116,Sensus,15,2014-05-03,11,2022-12-16,False,Activo
MD-00117,CL-00117,Itron,13,2022-07-15,3,2023-12-17,False,Activo
MD-00118,CL-00118,Actaris,15,2023-05-21,2,,False,Activo
MD-00119,CL-00119,Itron,15,2017-04-19,8,2025-06-13,False,Activo
MD-00120,CL-00120,Zenner,15,2013-11-25,12,2022-11-05,False,Activo
MD-00121,CL-00121,Sensus,13,2019-08-11,6,2026-05-12,False,Activo
MD-00122,CL-00122,Itron,13,2021-11-05,4,2024-10-21,False,Activo
MD-00123,CL-00123,Elster,13,2024-04-22,1,,False,Activo
MD-00124,CL-00124,Itron,25,2020-09-14,5,2026-01-31,False,Activo
MD-00125,CL-00125,Sensus,13,2013-02-27,12,2026-06-14,False,Activo
MD-00126,CL-00126,Actaris,13,2015-05-12,10,2022-11-12,False,Activo
MD-00127,CL-00127,Sensus,15,2015-09-09,10,2022-03-29,False,Activo
MD-00128,CL-00128,Elster,13,2025-07-04,0,,False,Activo
MD-00129,CL-00129,Sensus,15,2014-06-22,11,2025-07-13,False,Activo
MD-00130,CL-00130,Sensus,15,2013-02-20,12,2025-05-31,False,Activo
MD-00131,CL-00131,Zenner,13,2019-11-11,6,2020-09-04,True,Activo
MD-00132,CL-00132,Zenner,13,2022-06-03,3,2021-10-14,False,Activo
MD-00133,CL-00133,Elster,13,2012-02-05,13,2026-03-12,False,Activo
MD-00134,CL-00134,Itron,15,2022-06-26,3,2026-03-28,False,Activo
MD-00135,CL-00135,Zenner,13,2018-11-22,7,2024-09-11,False,Activo
MD-00136,CL-00136,Zenner,19,2018-10-17,7,2025-06-11,False,Activo
MD-00137,CL-00137,Actaris,25,2012-11-07,13,2022-12-26,False,Activo
MD-00138,CL-00138,Elster,38,2018-11-21,7,2022-09-23,False,Activo
MD-00139,CL-00139,Elster,15,2022-05-10,3,2025-03-18,False,Activo
MD-00140,CL-00140,Actaris,13,2019-09-08,6,2021-05-23,False,Activo
MD-00141,CL-00141,Actaris,25,2022-12-07,3,2022-11-24,False,Activo
MD-00142,CL-00142,Actaris,13,2025-01-10,0,,False,Activo
MD-00143,CL-00143,Zenner,13,2015-02-18,10,2022-07-16,False,Activo
MD-00144,CL-00144,Sensus,13,2015-04-18,10,2025-09-09,False,Activo
MD-00145,CL-00145,Itron,38,2011-05-20,14,2024-02-04,False,Activo
MD-00146,CL-00146,Zenner,13,2017-08-08,8,2021-07-15,False,Activo
MD-00147,CL-00147,Actaris,13,2018-11-14,7,2024-11-11,False,Activo
MD-00148,CL-00148,Zenner,13,2014-10-07,11,2024-07-23,False,Activo
MD-00149,CL-00149,Sensus,19,2013-04-05,12,2022-04-12,False,Activo
MD-00150,CL-00150,Sensus,19,2011-02-06,14,2020-10-10,True,Activo
MD-00151,CL-00151,Actaris,13,2015-12-14,10,2020-09-29,True,Activo
MD-00152,CL-00152,Itron,13,2016-08-14,9,2025-10-28,False,Activo
MD-00153,CL-00153,Elster,13,2014-07-17,11,2024-08-04,False,Activo
MD-00154,CL-00154,Sensus,13,2011-10-25,14,2021-05-21,False,Activo
MD-00155,CL-00155,Actaris,13,2024-09-22,1,,False,Activo
MD-00156,CL-00156,Elster,19,2024-03-12,1,,False,Activo
MD-00157,CL-00157,Actaris,38,2011-07-07,14,2023-10-26,False,Activo
MD-00158,CL-00158,Sensus,13,2017-08-20,8,2024-07-10,False,Activo
MD-00159,CL-00159,Zenner,15,2024-09-12,1,,False,Activo
MD-00160,CL-00160,Itron,15,2014-07-25,11,2021-01-21,False,Activo
MD-00161,CL-00161,Itron,15,2019-07-04,6,2024-07-16,False,Activo
MD-00162,CL-00162,Actaris,25,2012-08-13,13,2022-10-20,False,Activo
MD-00163,CL-00163,Actaris,15,2021-06-19,4,2020-08-23,False,Activo
MD-00164,CL-00164,Zenner,15,2016-06-04,9,2021-01-20,False,Activo
MD-00165,CL-00165,Zenner,13,2017-11-06,8,2020-09-06,True,Activo
MD-00166,CL-00166,Actaris,13,2023-12-03,2,,False,Activo
MD-00167,CL-00167,Elster,15,2020-06-08,5,2025-02-18,False,Activo
MD-00168,CL-00168,Itron,13,2023-10-03,2,,False,Activo
MD-00169,CL-00169,Elster,13,2015-05-20,10,2022-03-21,False,Activo
MD-00170,CL-00170,Zenner,13,2011-05-26,14,2025-06-25,False,Activo
MD-00171,CL-00171,Actaris,19,2020-04-13,5,2023-07-07,False,Activo
MD-00172,CL-00172,Zenner,15,2024-01-20,1,,False,Activo
MD-00173,CL-00173,Elster,13,2020-04-01,5,2021-03-24,False,Activo
MD-00174,CL-00174,Sensus,25,2025-08-26,0,,False,Activo
MD-00175,CL-00175,Itron,13,2019-08-08,6,2026-04-07,False,Activo
MD-00176,CL-00176,Elster,15,2015-07-05,10,2021-10-03,False,Activo
MD-00177,CL-00177,Sensus,13,2013-07-02,12,2020-11-17,True,Activo
MD-00178,CL-00178,Sensus,13,2012-07-13,13,2024-05-29,False,Activo
MD-00179,CL-00179,Itron,13,2012-02-13,13,2024-11-22,False,Activo
MD-00180,CL-00180,Itron,15,2021-07-17,4,2026-06-21,False,Activo
MD-00181,CL-00181,Zenner,13,2017-04-10,8,2022-06-18,False,Activo
MD-00182,CL-00182,Elster,13,2019-04-01,6,2023-01-24,False,Activo
MD-00183,CL-00183,Itron,15,2020-01-12,5,2024-06-21,False,Activo
MD-00184,CL-00184,Actaris,13,2017-12-01,8,2021-11-03,False,Activo
MD-00185,CL-00185,Itron,13,2017-08-08,8,2024-02-17,False,Activo
MD-00186,CL-00186,Sensus,13,2025-11-08,0,,False,Activo
MD-00187,CL-00187,Elster,13,2015-07-11,10,2025-02-11,False,Activo
MD-00188,CL-00188,Sensus,13,2016-05-21,9,2025-12-02,False,Activo
MD-00189,CL-00189,Elster,13,2013-03-22,12,2025-05-30,False,Activo
MD-00190,CL-00190,Elster,13,2023-11-24,2,,False,Activo
MD-00191,CL-00191,Zenner,15,2024-08-19,1,,False,Activo
MD-00192,CL-00192,Zenner,19,2020-03-24,5,2021-01-27,False,Activo
MD-00193,CL-00193,Zenner,15,2019-05-19,6,2020-11-20,True,Activo
MD-00194,CL-00194,Zenner,25,2016-01-11,9,2024-11-15,False,Activo
MD-00195,CL-00195,Elster,13,2022-10-17,3,2024-01-28,False,Activo
MD-00196,CL-00196,Zenner,13,2014-03-26,11,2023-09-12,False,Activo
MD-00197,CL-00197,Zenner,13,2018-08-27,7,2024-02-10,False,Activo
MD-00198,CL-00198,Zenner,13,2024-08-01,1,,False,Activo
MD-00199,CL-00199,Zenner,13,2024-04-06,1,,False,Activo
MD-00200,CL-00200,Actaris,13,2011-08-12,14,2021-12-12,False,Activo
MD-00201,CL-00201,Sensus,19,2024-03-26,1,,False,Activo
MD-00202,CL-00202,Itron,19,2022-08-10,3,2023-11-10,False,Activo
MD-00203,CL-00203,Itron,13,2021-03-26,4,2023-09-01,False,Activo
MD-00204,CL-00204,Elster,15,2011-03-12,14,2024-11-25,False,Activo
MD-00205,CL-00205,Sensus,19,2016-02-23,9,2025-05-25,False,Activo
MD-00206,CL-00206,Elster,13,2019-04-23,6,2022-05-25,False,Activo
MD-00207,CL-00207,Actaris,13,2024-03-26,1,,False,Activo
MD-00208,CL-00208,Actaris,15,2025-04-22,0,,False,Activo
MD-00209,CL-00209,Actaris,13,2025-04-06,0,,False,Activo
MD-00210,CL-00210,Elster,13,2016-04-15,9,2025-06-26,False,Activo
MD-00211,CL-00211,Elster,13,2017-10-05,8,2026-05-06,False,Activo
MD-00212,CL-00212,Itron,25,2014-07-04,11,2021-07-31,False,Activo
MD-00213,CL-00213,Itron,13,2014-03-22,11,2024-05-26,False,Activo
MD-00214,CL-00214,Elster,13,2016-09-20,9,2026-03-25,False,Activo
MD-00215,CL-00215,Actaris,13,2015-05-26,10,2022-07-22,False,Activo
MD-00216,CL-00216,Actaris,15,2021-08-27,4,2026-04-02,False,Activo
MD-00217,CL-00217,Sensus,15,2021-09-27,4,2020-12-04,False,Activo
MD-00218,CL-00218,Zenner,13,2014-03-11,11,2023-10-20,False,Activo
MD-00219,CL-00219,Itron,15,2019-10-13,6,2026-03-14,False,Activo
MD-00220,CL-00220,Elster,13,2013-06-26,12,2025-01-28,False,Activo
MD-00221,CL-00221,Sensus,13,2016-05-24,9,2024-04-15,False,Activo
MD-00222,CL-00222,Elster,13,2022-09-12,3,2020-11-03,False,Activo
MD-00223,CL-00223,Elster,13,2018-05-15,7,2024-12-23,False,Activo
MD-00224,CL-00224,Sensus,19,2011-10-22,14,2020-11-01,True,Activo
MD-00225,CL-00225,Itron,13,2025-06-06,0,,False,Activo
MD-00226,CL-00226,Sensus,13,2018-01-17,7,2022-02-11,False,Activo
MD-00227,CL-00227,Actaris,19,2020-01-16,5,2021-11-11,False,Activo
MD-00228,CL-00228,Actaris,13,2012-08-15,13,2023-03-15,False,Activo
MD-00229,CL-00229,Itron,13,2025-05-24,0,,False,Activo
MD-00230,CL-00230,Elster,13,2021-06-26,4,2023-02-01,False,Activo
MD-00231,CL-00231,Actaris,13,2024-10-15,1,,False,Activo
MD-00232,CL-00232,Sensus,25,2020-06-27,5,2021-12-29,False,Activo
MD-00233,CL-00233,Actaris,13,2025-09-14,0,,False,Activo
MD-00234,CL-00234,Itron,15,2014-07-15,11,2023-01-17,False,Activo
MD-00235,CL-00235,Elster,15,2011-12-03,14,2021-07-24,False,Activo
MD-00236,CL-00236,Sensus,19,2022-04-03,3,2026-01-14,False,Activo
MD-00237,CL-00237,Itron,25,2018-08-17,7,2020-09-08,True,Activo
MD-00238,CL-00238,Sensus,13,2023-04-13,2,,False,Activo
MD-00239,CL-00239,Itron,13,2021-04-08,4,2025-04-10,False,Activo
MD-00240,CL-00240,Sensus,13,2012-04-13,13,2021-01-12,False,Activo
MD-00241,CL-00241,Itron,13,2013-02-03,12,2026-06-14,False,Activo
MD-00242,CL-00242,Zenner,19,2019-02-08,6,2024-08-02,False,Activo
MD-00243,CL-00243,Itron,13,2016-09-16,9,2023-02-11,False,Activo
MD-00244,CL-00244,Actaris,15,2020-02-18,5,2020-12-09,True,Activo
MD-00245,CL-00245,Itron,19,2019-12-02,6,2025-08-28,False,Activo
MD-00246,CL-00246,Sensus,13,2019-05-06,6,2025-09-24,False,Activo
MD-00247,CL-00247,Sensus,19,2014-04-23,11,2023-12-21,False,Activo
MD-00248,CL-00248,Actaris,19,2018-10-09,7,2025-03-21,False,Activo
MD-00249,CL-00249,Itron,19,2020-08-27,5,2025-11-26,False,Activo
MD-00250,CL-00250,Zenner,13,2015-01-04,10,2026-06-06,False,Activo
MD-00251,CL-00251,Itron,25,2023-05-22,2,,False,Activo
MD-00252,CL-00252,Itron,13,2022-06-16,3,2025-02-25,False,Activo
MD-00253,CL-00253,Zenner,13,2016-03-09,9,2025-08-15,False,Activo
MD-00254,CL-00254,Elster,13,2012-01-18,13,2025-10-09,False,Activo
MD-00255,CL-00255,Itron,19,2017-07-10,8,2026-01-03,False,Activo
MD-00256,CL-00256,Elster,13,2021-04-23,4,2021-11-10,False,Activo
MD-00257,CL-00257,Elster,15,2013-08-16,12,2026-07-02,False,Activo
MD-00258,CL-00258,Sensus,13,2016-09-14,9,2025-09-20,False,Activo
MD-00259,CL-00259,Itron,15,2011-09-25,14,2021-01-25,False,Activo
MD-00260,CL-00260,Itron,13,2024-10-03,1,,False,Activo
MD-00261,CL-00261,Elster,13,2021-06-13,4,2026-06-02,False,Activo
MD-00262,CL-00262,Sensus,25,2024-12-25,1,,False,Activo
MD-00263,CL-00263,Elster,13,2015-11-16,10,2024-08-16,False,Activo
MD-00264,CL-00264,Sensus,25,2023-05-27,2,,False,Activo
MD-00265,CL-00265,Sensus,15,2017-12-11,8,2026-03-22,False,Activo
MD-00266,CL-00266,Sensus,13,2013-04-07,12,2024-08-02,False,Activo
MD-00267,CL-00267,Zenner,13,2015-11-15,10,2024-12-27,False,Activo
MD-00268,CL-00268,Actaris,13,2012-11-17,13,2020-08-03,True,Activo
MD-00269,CL-00269,Actaris,13,2022-05-08,3,2024-03-20,False,Activo
MD-00270,CL-00270,Actaris,15,2022-12-22,3,2023-07-10,False,Activo
MD-00271,CL-00271,Sensus,15,2021-07-16,4,2021-10-03,False,Activo
MD-00272,CL-00272,Actaris,13,2022-12-05,3,2023-03-24,False,Activo
MD-00273,CL-00273,Actaris,15,2022-04-19,3,2023-07-25,False,Activo
MD-00274,CL-00274,Zenner,13,2021-11-23,4,2026-05-31,False,Activo
MD-00275,CL-00275,Sensus,13,2017-06-04,8,2021-02-08,False,Activo
MD-00276,CL-00276,Zenner,15,2024-05-22,1,,False,Activo
MD-00277,CL-00277,Actaris,13,2023-07-02,2,,False,Activo
MD-00278,CL-00278,Zenner,19,2020-04-22,5,2024-01-18,False,Activo
MD-00279,CL-00279,Itron,13,2022-09-07,3,2021-04-15,False,Activo
MD-00280,CL-00280,Elster,13,2020-04-15,5,2022-05-23,False,Activo
MD-00281,CL-00281,Actaris,13,2022-02-18,3,2024-07-17,False,Activo
MD-00282,CL-00282,Sensus,13,2012-11-05,13,2024-03-06,False,Activo
MD-00283,CL-00283,Sensus,13,2014-02-13,11,2023-05-21,False,Activo
MD-00284,CL-00284,Itron,13,2011-07-04,14,2022-12-27,False,Activo
MD-00285,CL-00285,Actaris,19,2011-03-25,14,2025-09-20,False,Activo
MD-00286,CL-00286,Itron,13,2023-05-02,2,,False,Activo
MD-00287,CL-00287,Elster,13,2024-02-24,1,,False,Activo
MD-00288,CL-00288,Itron,13,2012-07-21,13,2024-06-04,False,Activo
MD-00289,CL-00289,Zenner,15,2015-07-21,10,2025-01-31,False,Activo
MD-00290,CL-00290,Elster,19,2011-02-12,14,2021-02-28,False,Activo
MD-00291,CL-00291,Zenner,15,2014-01-15,11,2025-05-31,False,Activo
MD-00292,CL-00292,Zenner,13,2019-02-10,6,2023-02-07,False,Activo
MD-00293,CL-00293,Sensus,15,2016-11-08,9,2024-09-05,False,Activo
MD-00294,CL-00294,Itron,15,2013-03-12,12,2021-02-16,False,Activo
MD-00295,CL-00295,Elster,15,2025-06-02,0,,False,Activo
MD-00296,CL-00296,Zenner,15,2014-06-20,11,2023-07-06,False,Activo
MD-00297,CL-00297,Elster,15,2013-10-10,12,2022-12-05,False,Activo
MD-00298,CL-00298,Actaris,15,2017-06-10,8,2025-12-05,False,Activo
MD-00299,CL-00299,Zenner,15,2013-06-25,12,2024-06-27,False,Activo
MD-00300,CL-00300,Sensus,13,2015-09-16,10,2023-10-18,False,Activo
MD-00301,CL-00301,Elster,13,2017-02-12,8,2026-04-16,False,Activo
MD-00302,CL-00302,Sensus,19,2017-10-25,8,2022-12-29,False,Activo
MD-00303,CL-00303,Elster,15,2019-12-02,6,2021-12-15,False,Activo
MD-00304,CL-00304,Itron,15,2022-08-22,3,2023-10-23,False,Activo
MD-00305,CL-00305,Zenner,15,2017-02-15,8,2025-12-23,False,Activo
MD-00306,CL-00306,Actaris,13,2022-07-24,3,2024-07-16,False,Activo
MD-00307,CL-00307,Sensus,19,2012-05-18,13,2020-09-07,True,Activo
MD-00308,CL-00308,Zenner,38,2014-06-24,11,2024-11-29,False,Activo
MD-00309,CL-00309,Elster,13,2020-04-24,5,2022-12-02,False,Activo
MD-00310,CL-00310,Sensus,15,2013-04-20,12,2025-03-12,False,Activo
MD-00311,CL-00311,Itron,25,2019-11-16,6,2024-05-18,False,Activo
MD-00312,CL-00312,Zenner,13,2021-08-19,4,2023-04-20,False,Activo
MD-00313,CL-00313,Actaris,13,2013-07-14,12,2022-12-13,False,Activo
MD-00314,CL-00314,Elster,13,2011-12-17,14,2024-02-03,False,Activo
MD-00315,CL-00315,Actaris,19,2014-02-05,11,2021-08-23,False,Activo
MD-00316,CL-00316,Itron,13,2019-08-27,6,2023-02-18,False,Activo
MD-00317,CL-00317,Zenner,13,2011-03-17,14,2023-03-15,False,Activo
MD-00318,CL-00318,Actaris,25,2020-07-08,5,2025-07-11,False,Activo
MD-00319,CL-00319,Actaris,13,2023-05-09,2,,False,Activo
MD-00320,CL-00320,Actaris,38,2017-06-02,8,2023-08-18,False,Activo
MD-00321,CL-00321,Elster,13,2015-09-08,10,2023-12-17,False,Activo
MD-00322,CL-00322,Itron,13,2019-11-07,6,2024-08-31,False,Activo
MD-00323,CL-00323,Itron,19,2016-03-20,9,2023-03-24,False,Activo
MD-00324,CL-00324,Elster,13,2016-05-15,9,2022-12-03,False,Activo
MD-00325,CL-00325,Actaris,15,2013-04-06,12,2026-03-28,False,Activo
MD-00326,CL-00326,Actaris,15,2025-03-03,0,,False,Activo
MD-00327,CL-00327,Zenner,15,2014-04-13,11,2026-06-24,False,Activo
MD-00328,CL-00328,Itron,15,2022-03-22,3,2022-06-28,False,Activo
MD-00329,CL-00329,Actaris,13,2013-11-13,12,2021-08-30,False,Activo
MD-00330,CL-00330,Actaris,15,2020-12-20,5,2026-01-15,False,Activo
MD-00331,CL-00331,Zenner,15,2015-03-08,10,2024-02-26,False,Activo
MD-00332,CL-00332,Itron,13,2016-03-26,9,2025-11-22,False,Activo
MD-00333,CL-00333,Itron,19,2017-04-24,8,2023-10-07,False,Activo
MD-00334,CL-00334,Itron,15,2023-12-15,2,,False,Activo
MD-00335,CL-00335,Sensus,13,2015-11-06,10,2024-03-12,False,Activo
MD-00336,CL-00336,Elster,15,2020-04-06,5,2023-04-28,False,Activo
MD-00337,CL-00337,Itron,13,2025-03-08,0,,False,Activo
MD-00338,CL-00338,Itron,19,2011-08-07,14,2024-01-10,False,Activo
MD-00339,CL-00339,Sensus,15,2022-09-12,3,2021-12-28,False,Activo
MD-00340,CL-00340,Actaris,13,2014-11-19,11,2022-06-13,False,Activo
MD-00341,CL-00341,Elster,25,2021-08-16,4,2023-10-02,False,Activo
MD-00342,CL-00342,Elster,25,2013-06-22,12,2021-05-09,False,Activo
MD-00343,CL-00343,Sensus,13,2022-11-17,3,2022-08-03,False,Activo
MD-00344,CL-00344,Actaris,13,2020-09-23,5,2023-05-26,False,Activo
MD-00345,CL-00345,Elster,13,2014-11-15,11,2023-04-30,False,Activo
MD-00346,CL-00346,Zenner,13,2020-03-01,5,2023-02-21,False,Activo
MD-00347,CL-00347,Itron,13,2023-12-17,2,,False,Activo
MD-00348,CL-00348,Elster,13,2012-04-13,13,2026-05-22,False,Activo
MD-00349,CL-00349,Actaris,13,2016-11-15,9,2025-07-22,False,Activo
MD-00350,CL-00350,Elster,25,2022-10-06,3,2022-10-27,False,Activo
MD-00351,CL-00351,Elster,13,2020-01-18,5,2020-09-08,True,Activo
