id_lectura,id_medidor,fecha_lectura,lectura_acumulada_m3,consumo_m3,tipo_anomalia_real,tipo_anomalia_detectada
LC-0000036,MD-00003,2025-12-01,1746.31,17.22,Normal,Normal
LC-0000037,MD-00004,2025-01-01,3544.11,16.9,Normal,Normal
LC-0000038,MD-00004,2025-02-01,3558.89,14.78,Normal,Normal
LC-0000039,MD-00004,2025-03-01,3572.05,13.16,Normal,Normal
LC-0000040,MD-00004,2025-04-01,3586.79,14.75,Normal,Normal
LC-0000041,MD-00004,2025-05-01,3603.34,16.54,Normal,Normal
LC-0000042,MD-00004,2025-06-01,3619.6,16.27,Normal,Normal
LC-0000043,MD-00004,2025-07-01,3635.91,16.31,Normal,Normal
LC-0000044,MD-00004,2025-08-01,3652.27,16.36,Normal,Normal
LC-0000045,MD-00004,2025-09-01,3669.41,17.14,Normal,Normal
LC-0000046,MD-00004,2025-10-01,3683.92,14.52,Normal,Normal
LC-0000047,MD-00004,2025-11-01,3697.92,13.99,Normal,Normal
LC-0000048,MD-00004,2025-12-01,3713.85,15.94,Normal,Normal
LC-0000049,MD-00005,2025-01-01,2029.22,13.66,Normal,Normal
LC-0000050,MD-00005,2025-02-01,2042.22,13.0,Normal,Normal
LC-0000051,MD-00005,2025-03-01,2055.91,13.69,Normal,Normal
LC-0000052,MD-00005,2025-04-01,2068.17,12.26,Normal,Normal
LC-0000053,MD-00005,2025-05-01,2080.36,12.2,Normal,Normal
LC-0000054,MD-00005,2025-06-01,2095.55,15.19,Normal,Normal
LC-0000055,MD-00005,2025-07-01,2107.53,11.98,Normal,Normal
LC-0000056,MD-00005,2025-08-01,2122.26,14.73,Normal,Normal
LC-0000057,MD-00005,2025-09-01,2133.93,11.67,Normal,Normal
LC-0000058,MD-00005,2025-10-01,2148.38,14.45,Normal,Normal
LC-0000059,MD-00005,2025-11-01,2161.91,13.53,Normal,Normal
LC-0000060,MD-00005,2025-12-01,2177.12,15.21,Normal,Normal
LC-0000061,MD-00006,2025-01-01,2634.44,14.44,Normal,Normal
LC-0000062,MD-00006,2025-02-01,2647.51,13.07,Normal,Normal
LC-0000063,MD-00006,2025-03-01,2659.69,12.18,Normal,Normal
LC-0000064,MD-00006,2025-04-01,2673.17,13.48,Normal,Normal
LC-0000065,MD-00006,2025-05-01,2688.33,15.17,Normal,Normal
LC-0000066,MD-00006,2025-06-01,2703.22,14.88,Normal,Normal
LC-0000067,MD-00006,2025-07-01,2717.61,14.39,Normal,Normal
LC-0000068,MD-00006,2025-08-01,2731.35,13.74,Normal,Normal
LC-0000069,MD-00006,2025-09-01,2744.71,13.36,Normal,Normal
LC-0000070,MD-00006,2025-10-01,2758.47,13.76,Normal,Normal
LC-0000071,MD-00006,2025-11-01,2773.27,14.8,Normal,Normal
LC-0000072,MD-00006,2025-12-01,2788.33,15.06,Normal,Normal
LC-0000073,MD-00007,2025-01-01,2720.27,15.75,Normal,Normal
LC-0000074,MD-00007,2025-02-01,2736.45,16.19,Normal,Normal
LC-0000075,MD-00007,2025-03-01,2752.28,15.83,Normal,Normal
LC-0000076,MD-00007,2025-04-01,2767.87,15.59,Normal,Normal
LC-0000077,MD-00007,2025-05-01,2783.16,15.29,Normal,Normal
LC-0000078,MD-00007,2025-06-01,2799.95,16.79,Normal,Normal
LC-0000079,MD-00007,2025-07-01,2817.83,17.88,Normal,Normal
LC-0000080,MD-00007,2025-08-01,2835.53,17.7,Normal,Normal
LC-0000081,MD-00007,2025-09-01,2850.08,14.56,Normal,Normal
LC-0000082,MD-00007,2025-10-01,2867.94,17.85,Normal,Normal
LC-0000083,MD-00007,2025-11-01,2883.71,15.77,Normal,Normal
LC-0000084,MD-00007,2025-12-01,2900.67,16.96,Normal,Normal
LC-0000085,MD-00008,2025-01-01,965.84,17.05,Normal,Normal
LC-0000086,MD-00008,2025-02-01,979.85,14.01,Normal,Normal
LC-0000087,MD-00008,2025-03-01,994.44,14.59,Normal,Normal
LC-0000088,MD-00008,2025-04-01,1010.23,15.79,Normal,Normal
LC-0000089,MD-00008,2025-05-01,1025.83,15.59,Normal,Normal
LC-0000090,MD-00008,2025-06-01,1041.63,15.81,Normal,Normal
LC-0000091,MD-00008,2025-07-01,1058.54,16.9,Normal,Normal
LC-0000092,MD-00008,2025-08-01,1074.8,16.26,Normal,Normal
LC-0000093,MD-00008,2025-09-01,1091.13,16.33,Normal,Normal
LC-0000094,MD-00008,2025-10-01,1107.88,16.74,Normal,Normal
LC-0000095,MD-00008,2025-11-01,1125.14,17.26,Normal,Normal
LC-0000096,MD-00008,2025-12-01,1137.14,12.01,Normal,Normal
LC-0000097,MD-00009,2025-01-01,2047.1,12.53,Normal,Normal
LC-0000098,MD-00009,2025-02-01,2061.0,13.9,Normal,Normal
LC-0000099,MD-00009,2025-03-01,2072.27,11.26,Normal,Normal
LC-0000100,MD-00009,2025-04-01,2083.8,11.53,Normal,Normal
LC-0000101,MD-00009,2025-05-01,2096.27,12.47,Normal,Normal
LC-0000102,MD-00009,2025-06-01,2108.16,11.89,Normal,Normal
LC-0000103,MD-00009,2025-07-01,2119.99,11.84,Normal,Normal
LC-0000104,MD-00009,2025-08-01,2131.96,11.96,Normal,Normal
LC-0000105,MD-00009,2025-09-01,2145.64,13.68,Normal,Normal
LC-0000106,MD-00009,2025-10-01,2159.12,13.48,Normal,Normal
LC-0000107,MD-00009,2025-11-01,2171.53,12.4,Normal,Normal
LC-0000108,MD-00009,2025-12-01,2185.54,14.02,Normal,Normal
LC-0000109,MD-00010,2025-01-01,4730.92,17.38,Normal,Normal
LC-0000110,MD-00010,2025-02-01,4748.99,18.08,Normal,Normal
LC-0000111,MD-00010,2025-03-01,4770.98,21.99,Normal,Normal
LC-0000112,MD-00010,2025-04-01,4790.19,19.21,Normal,Normal
LC-0000113,MD-00010,2025-05-01,4806.48,16.29,Normal,Normal
LC-0000114,MD-00010,2025-06-01,4825.86,19.39,Normal,Normal
LC-0000115,MD-00010,2025-07-01,4846.43,20.57,Normal,Normal
LC-0000116,MD-00010,2025-08-01,4863.71,17.28,Normal,Normal
LC-0000117,MD-00010,2025-09-01,4881.65,17.95,Normal,Normal
LC-0000118,MD-00010,2025-10-01,4902.45,20.79,Normal,Normal
LC-0000119,MD-00010,2025-11-01,4921.12,18.68,Normal,Normal
LC-0000120,MD-00010,2025-12-01,4939.54,18.41,Normal,Normal
LC-0000121,MD-00011,2025-01-01,996.59,11.24,Normal,Normal
LC-0000122,MD-00011,2025-02-01,1007.93,11.34,Normal,Normal
LC-0000123,MD-00011,2025-03-01,1020.67,12.74,Normal,Normal
LC-0000124,MD-00011,2025-04-01,1032.09,11.41,Normal,Normal
LC-0000125,MD-00011,2025-05-01,1043.47,11.39,Normal,Normal
LC-0000126,MD-00011,2025-06-01,1056.31,12.84,Normal,Normal
LC-0000127,MD-00011,2025-07-01,1069.59,13.27,Normal,Normal
LC-0000128,MD-00011,2025-08-01,1081.96,12.38,Normal,Normal
LC-0000129,MD-00011,2025-09-01,1093.12,11.15,Normal,Normal
LC-0000130,MD-00011,2025-10-01,1104.41,11.29,Normal,Normal
LC-0000131,MD-00011,2025-11-01,1116.25,11.85,Normal,Normal
LC-0000132,MD-00011,2025-12-01,1128.33,12.07,Normal,Normal
LC-0000133,MD-00012,2025-01-01,2035.96,16.06,Normal,Normal
LC-0000134,MD-00012,2025-02-01,2054.95,18.98,Normal,Normal
LC-0000135,MD-00012,2025-03-01,2077.34,22.39,Normal,Normal
LC-0000136,MD-00012,2025-04-01,2097.41,20.07,Normal,Normal
LC-0000137,MD-00012,2025-05-01,2115.8,18.4,Normal,Normal
LC-0000138,MD-00012,2025-06-01,2138.53,22.72,Normal,Normal
LC-0000139,MD-00012,2025-07-01,2155.18,16.65,Normal,Normal
LC-0000140,MD-00012,2025-08-01,2175.23,20.05,Normal,Normal
LC-0000141,MD-00012,2025-09-01,2194.67,19.45,Normal,Normal
LC-0000142,MD-00012,2025-10-01,2213.64,18.96,Normal,Normal
LC-0000143,MD-00012,2025-11-01,2234.23,20.6,Normal,Normal
LC-0000144,MD-00012,2025-12-01,2251.75,17.52,Normal,Normal
LC-0000145,MD-00013,2025-01-01,4675.83,54.16,Normal,Normal
LC-0000146,MD-00013,2025-02-01,4726.84,51.01,Normal,Normal
LC-0000147,MD-00013,2025-03-01,4777.56,50.72,Normal,Normal
LC-0000148,MD-00013,2025-04-01,4830.58,53.01,Normal,Normal
LC-0000149,MD-00013,2025-05-01,4882.69,52.12,Normal,Normal
LC-0000150,MD-00013,2025-06-01,4940.49,57.8,Normal,Normal
LC-0000151,MD-00013,2025-07-01,4994.06,53.57,Normal,Normal
LC-0000152,MD-00013,2025-08-01,5050.88,56.82,Normal,Normal
LC-0000153,MD-00013,2025-09-01,5105.67,54.79,Normal,Normal
LC-0000154,MD-00013,2025-10-01,5152.4,46.73,Normal,Normal
LC-0000155,MD-00013,2025-11-01,5202.3,49.91,Normal,Normal
LC-0000156,MD-00013,2025-12-01,5254.34,52.04,Normal,Normal
LC-0000157,MD-00014,2025-01-01,1047.48,10.95,Normal,Normal
LC-0000158,MD-00014,2025-02-01,1059.02,11.54,Normal,Normal
LC-0000159,MD-00014,2025-03-01,1069.39,10.36,Normal,Normal
LC-0000160,MD-00014,2025-04-01,1079.84,10.46,Normal,Normal
LC-0000161,MD-00014,2025-05-01,1090.63,10.79,Normal,Normal
LC-0000162,MD-00014,2025-06-01,1101.83,11.19,Normal,Normal
LC-0000163,MD-00014,2025-07-01,1113.33,11.5,Normal,Normal
LC-0000164,MD-00014,2025-08-01,1124.83,11.5,Normal,Normal
LC-0000165,MD-00014,2025-09-01,1135.0,10.17,Normal,Normal
LC-0000166,MD-00014,2025-10-01,1146.29,11.3,Normal,Normal
LC-0000167,MD-00014,2025-11-01,1156.92,10.63,Normal,Normal
LC-0000168,MD-00014,2025-12-01,1165.19,8.27,Normal,Normal
LC-0000169,MD-00015,2025-01-01,2938.87,14.4,Normal,Normal
LC-0000170,MD-00015,2025-02-01,2953.26,14.39,Normal,Normal
LC-0000171,MD-00015,2025-03-01,2971.14,17.89,Normal,Normal
LC-0000172,MD-00015,2025-04-01,2987.63,16.49,Normal,Normal
LC-0000173,MD-00015,2025-05-01,3000.01,12.37,Normal,Normal
LC-0000174,MD-00015,2025-06-01,3014.61,14.6,Normal,Normal
LC-0000175,MD-00015,2025-07-01,3027.68,13.08,Normal,Normal
LC-0000176,MD-00015,2025-08-01,3041.81,14.13,Normal,Normal
LC-0000177,MD-00015,2025-09-01,3053.26,11.45,Normal,Normal
LC-0000178,MD-00015,2025-10-01,3068.39,15.12,Normal,Normal
LC-0000179,MD-00015,2025-11-01,3082.28,13.89,Normal,Normal
LC-0000180,MD-00015,2025-12-01,3097.65,15.37,Normal,Normal
LC-0000181,MD-00016,2025-01-01,1606.53,15.65,Normal,Normal
LC-0000182,MD-00016,2025-02-01,1623.41,16.88,Normal,Normal
LC-0000183,MD-00016,2025-03-01,1638.5,15.1,Normal,Normal
LC-0000184,MD-00016,2025-04-01,1656.38,17.88,Normal,Normal
LC-0000185,MD-00016,2025-05-01,1669.64,13.26,Normal,Normal
LC-0000186,MD-00016,2025-06-01,1682.62,12.99,Normal,Normal
LC-0000187,MD-00016,2025-07-01,1699.37,16.74,Normal,Normal
LC-0000188,MD-00016,2025-08-01,1711.94,12.57,Normal,Normal
LC-0000189,MD-00016,2025-09-01,1728.0,16.06,Normal,Normal
LC-0000190,MD-00016,2025-10-01,1743.12,15.12,Normal,Normal
LC-0000191,MD-00016,2025-11-01,1757.48,14.37,Normal,Normal
LC-0000192,MD-00016,2025-12-01,1772.44,14.95,Normal,Normal
LC-0000193,MD-00017,2025-01-01,572.78,12.38,Normal,Normal
LC-0000194,MD-00017,2025-02-01,583.91,11.13,Normal,Normal
LC-0000195,MD-00017,2025-03-01,595.7,11.8,Normal,Normal
LC-0000196,MD-00017,2025-04-01,608.1,12.4,Normal,Normal
LC-0000197,MD-00017,2025-05-01,620.32,12.22,Normal,Normal
LC-0000198,MD-00017,2025-06-01,632.7,12.38,Normal,Normal
LC-0000199,MD-00017,2025-07-01,644.06,11.35,Normal,Normal
LC-0000200,MD-00017,2025-08-01,656.71,12.66,Normal,Normal
LC-0000201,MD-00017,2025-09-01,668.88,12.17,Normal,Normal
LC-0000202,MD-00017,2025-10-01,679.41,10.52,Normal,Normal
LC-0000203,MD-00017,2025-11-01,690.94,11.53,Normal,Normal
LC-0000204,MD-00017,2025-12-01,702.12,11.18,Normal,Normal
LC-0000205,MD-00018,2025-01-01,1262.93,44.59,Normal,Normal
LC-0000206,MD-00018,2025-02-01,1309.09,46.16,Normal,Normal
LC-0000207,MD-00018,2025-03-01,1350.23,41.14,Normal,Normal
LC-0000208,MD-00018,2025-04-01,1397.8,47.57,Normal,Normal
LC-0000209,MD-00018,2025-05-01,1443.47,45.67,Normal,Normal
LC-0000210,MD-00018,2025-06-01,1485.24,41.77,Normal,Normal
LC-0000211,MD-00018,2025-07-01,1529.18,43.94,Normal,Normal
LC-0000212,MD-00018,2025-08-01,1571.91,42.73,Normal,Normal
LC-0000213,MD-00018,2025-09-01,1613.69,41.78,Normal,Normal
LC-0000214,MD-00018,2025-10-01,1661.77,48.09,Normal,Normal
LC-0000215,MD-00018,2025-11-01,1705.21,43.43,Normal,Normal
LC-0000216,MD-00018,2025-12-01,1744.11,38.9,Normal,Normal
LC-0000217,MD-00019,2025-01-01,1786.96,13.69,Normal,Normal
LC-0000218,MD-00019,2025-02-01,1800.22,13.26,Normal,Normal
LC-0000219,MD-00019,2025-03-01,1814.91,14.69,Normal,Normal
LC-0000220,MD-00019,2025-04-01,1829.3,14.39,Normal,Normal
LC-0000221,MD-00019,2025-05-01,1842.28,12.98,Normal,Normal
LC-0000222,MD-00019,2025-06-01,1855.07,12.79,Normal,Normal
LC-0000223,MD-00019,2025-07-01,1866.46,11.39,Normal,Normal
LC-0000224,MD-00019,2025-08-01,1880.28,13.82,Normal,Normal
LC-0000225,MD-00019,2025-09-01,1893.85,13.57,Normal,Normal
LC-0000226,MD-00019,2025-10-01,1908.74,14.9,Normal,Normal
LC-0000227,MD-00019,2025-11-01,1922.79,14.05,Normal,Normal
LC-0000228,MD-00019,2025-12-01,1937.91,15.11,Normal,Normal
LC-0000229,MD-00020,2025-01-01,2050.11,53.08,Normal,Normal
LC-0000230,MD-00020,2025-02-01,2095.47,45.35,Normal,Normal
LC-0000231,MD-00020,2025-03-01,2153.59,58.12,Normal,Normal
LC-0000232,MD-00020,2025-04-01,2202.68,49.1,Normal,Normal
LC-0000233,MD-00020,2025-05-01,2250.93,48.25,Normal,Normal
LC-0000234,MD-00020,2025-06-01,2303.94,53.01,Normal,Normal
LC-0000235,MD-00020,2025-07-01,2355.12,51.17,Normal,Normal
LC-0000236,MD-00020,2025-08-01,2409.07,53.95,Normal,Normal
LC-0000237,MD-00020,2025-09-01,2464.16,55.09,Normal,Normal
LC-0000238,MD-00020,2025-10-01,2516.12,51.96,Normal,Normal
LC-0000239,MD-00020,2025-11-01,2564.09,47.97,Normal,Normal
LC-0000240,MD-00020,2025-12-01,2620.07,55.97,Normal,Normal
LC-0000241,MD-00021,2025-01-01,1348.19,19.0,Normal,Normal
LC-0000242,MD-00021,2025-02-01,1365.97,17.78,Normal,Normal
LC-0000243,MD-00021,2025-03-01,1386.32,20.34,Normal,Normal
LC-0000244,MD-00021,2025-04-01,1406.77,20.45,Normal,Normal
LC-0000245,MD-00021,2025-05-01,1425.35,18.57,Normal,Normal
LC-0000246,MD-00021,2025-06-01,1443.1,17.76,Normal,Normal
LC-0000247,MD-00021,2025-07-01,1459.33,16.22,Normal,Normal
LC-0000248,MD-00021,2025-08-01,1476.66,17.34,Normal,Normal
LC-0000249,MD-00021,2025-09-01,1492.06,15.4,Normal,Normal
LC-0000250,MD-00021,2025-10-01,1509.33,17.27,Normal,Normal
LC-0000251,MD-00021,2025-11-01,1528.5,19.16,Normal,Normal
LC-0000252,MD-00021,2025-12-01,1547.05,18.55,Normal,Normal
LC-0000253,MD-00022,2025-01-01,4684.33,34.29,Normal,Normal
LC-0000254,MD-00022,2025-02-01,4720.59,36.25,Normal,Normal
LC-0000255,MD-00022,2025-03-01,4760.19,39.6,Normal,Normal
LC-0000256,MD-00022,2025-04-01,4860.83,100.64,Falla Metrologica,Falla Metrologica
LC-0000257,MD-00022,2025-05-01,4864.42,3.59,Falla Metrologica,Falla Metrologica
LC-0000258,MD-00022,2025-06-01,4990.23,125.8,Falla Metrologica,Falla Metrologica
LC-0000259,MD-00022,2025-07-01,4992.02,1.8,Falla Metrologica,Falla Metrologica
LC-0000260,MD-00022,2025-08-01,5092.67,100.64,Falla Metrologica,Falla Metrologica
LC-0000261,MD-00022,2025-09-01,5094.46,1.8,Falla Metrologica,Submedicion
LC-0000262,MD-00022,2025-10-01,5096.26,1.8,Falla Metrologica,Submedicion
LC-0000263,MD-00022,2025-11-01,5098.06,1.8,Falla Metrologica,Submedicion
LC-0000264,MD-00022,2025-12-01,5099.86,1.8,Falla Metrologica,Submedicion
LC-0000265,MD-00023,2025-01-01,2135.53,19.71,Normal,Normal
LC-0000266,MD-00023,2025-02-01,2152.69,17.16,Normal,Normal
LC-0000267,MD-00023,2025-03-01,2170.23,17.54,Normal,Normal
LC-0000268,MD-00023,2025-04-01,2189.96,19.73,Normal,Normal
LC-0000269,MD-00023,2025-05-01,2207.44,17.48,Normal,Normal
LC-0000270,MD-00023,2025-06-01,2225.59,18.15,Normal,Normal
LC-0000271,MD-00023,2025-07-01,2242.53,16.93,Normal,Normal
LC-0000272,MD-00023,2025-08-01,2263.68,21.15,Normal,Normal
LC-0000273,MD-00023,2025-09-01,2282.91,19.23,Normal,Normal
LC-0000274,MD-00023,2025-10-01,2300.99,18.08,Normal,Normal
LC-0000275,MD-00023,2025-11-01,2318.8,17.81,Normal,Normal
LC-0000276,MD-00023,2025-12-01,2335.44,16.65,Normal,Normal
LC-0000277,MD-00024,2025-01-01,2442.09,20.11,Normal,Normal
LC-0000278,MD-00024,2025-02-01,2459.61,17.52,Normal,Normal
LC-0000279,MD-00024,2025-03-01,2478.97,19.36,Normal,Normal
LC-0000280,MD-00024,2025-04-01,2495.93,16.96,Normal,Normal
LC-0000281,MD-00024,2025-05-01,2514.19,18.26,Normal,Normal
LC-0000282,MD-00024,2025-06-01,2530.94,16.75,Normal,Normal
LC-0000283,MD-00024,2025-07-01,2549.87,18.93,Normal,Normal
LC-0000284,MD-00024,2025-08-01,2566.47,16.6,Normal,Normal
LC-0000285,MD-00024,2025-09-01,2586.07,19.6,Normal,Normal
LC-0000286,MD-00024,2025-10-01,2606.12,20.04,Normal,Normal
LC-0000287,MD-00024,2025-11-01,2623.87,17.75,Normal,Normal
LC-0000288,MD-00024,2025-12-01,2643.12,19.25,Normal,Normal
LC-0000289,MD-00025,2025-01-01,1264.87,16.0,Normal,Normal
LC-0000290,MD-00025,2025-02-01,1283.12,18.25,Normal,Normal
LC-0000291,MD-00025,2025-03-01,1302.14,19.02,Normal,Normal
LC-0000292,MD-00025,2025-04-01,1318.28,16.14,Normal,Normal
LC-0000293,MD-00025,2025-05-01,1335.2,16.91,Normal,Normal
LC-0000294,MD-00025,2025-06-01,1352.84,17.64,Normal,Normal
LC-0000295,MD-00025,2025-07-01,1369.36,16.53,Normal,Normal
LC-0000296,MD-00025,2025-08-01,1386.95,17.59,Normal,Normal
LC-0000297,MD-00025,2025-09-01,1403.93,16.98,Submedicion,Normal
LC-0000298,MD-00025,2025-10-01,1418.36,14.43,Submedicion,Normal
LC-0000299,MD-00025,2025-11-01,1430.24,11.88,Submedicion,Normal
LC-0000300,MD-00025,2025-12-01,1439.58,9.34,Submedicion,Normal
LC-0000301,MD-00026,2025-01-01,3955.97,12.78,Normal,Consumo Elevado
LC-0000302,MD-00026,2025-02-01,3969.44,13.47,Normal,Consumo Elevado
LC-0000303,MD-00026,2025-03-01,3969.44,0.0,Medidor Detenido,Medidor Detenido
LC-0000304,MD-00026,2025-04-01,3969.44,0.0,Medidor Detenido,Medidor Detenido
LC-0000305,MD-00026,2025-05-01,3969.44,0.0,Medidor Detenido,Medidor Detenido
LC-0000306,MD-00026,2025-06-01,3969.44,0.0,Medidor Detenido,Medidor Detenido
LC-0000307,MD-00026,2025-07-01,3969.44,0.0,Medidor Detenido,Medidor Detenido
LC-0000308,MD-00026,2025-08-01,3969.44,0.0,Medidor Detenido,Medidor Detenido
LC-0000309,MD-00026,2025-09-01,3969.44,0.0,Medidor Detenido,Medidor Detenido
LC-0000310,MD-00026,2025-10-01,3969.44,0.0,Medidor Detenido,Medidor Detenido
LC-0000311,MD-00026,2025-11-01,3969.44,0.0,Medidor Detenido,Medidor Detenido
LC-0000312,MD-00026,2025-12-01,3969.44,0.0,Medidor Detenido,Medidor Detenido
LC-0000313,MD-00027,2025-01-01,2609.09,17.56,Normal,Normal
LC-0000314,MD-00027,2025-02-01,2625.98,16.89,Normal,Normal
LC-0000315,MD-00027,2025-03-01,2641.88,15.9,Normal,Normal
LC-0000316,MD-00027,2025-04-01,2658.41,16.53,Normal,Normal
LC-0000317,MD-00027,2025-05-01,2671.44,13.03,Normal,Normal
LC-0000318,MD-00027,2025-06-01,2685.83,14.39,Normal,Normal
LC-0000319,MD-00027,2025-07-01,2700.7,14.87,Normal,Normal
LC-0000320,MD-00027,2025-08-01,2715.1,14.4,Normal,Normal
LC-0000321,MD-00027,2025-09-01,2728.6,13.5,Normal,Normal
LC-0000322,MD-00027,2025-10-01,2744.52,15.92,Normal,Normal
LC-0000323,MD-00027,2025-11-01,2761.63,17.11,Normal,Normal
LC-0000324,MD-00027,2025-12-01,2777.01,15.39,Normal,Normal
LC-0000325,MD-00028,2025-01-01,4785.57,15.18,Normal,Normal
LC-0000326,MD-00028,2025-02-01,4802.75,17.17,Normal,Normal
LC-0000327,MD-00028,2025-03-01,4817.93,15.18,Normal,Normal
LC-0000328,MD-00028,2025-04-01,4835.73,17.8,Normal,Normal
LC-0000329,MD-00028,2025-05-01,4849.29,13.56,Normal,Normal
LC-0000330,MD-00028,2025-06-01,4864.39,15.09,Normal,Normal
LC-0000331,MD-00028,2025-07-01,4878.6,14.21,Normal,Normal
LC-0000332,MD-00028,2025-08-01,4893.13,14.53,Normal,Normal
LC-0000333,MD-00028,2025-09-01,4907.69,14.56,Normal,Normal
LC-0000334,MD-00028,2025-10-01,4921.96,14.27,Normal,Normal
LC-0000335,MD-00028,2025-11-01,4939.18,17.23,Normal,Normal
LC-0000336,MD-00028,2025-12-01,4956.04,16.85,Normal,Normal
LC-0000337,MD-00029,2025-01-01,4083.33,11.6,Normal,Normal
LC-0000338,MD-00029,2025-02-01,4095.23,11.91,Normal,Normal
LC-0000339,MD-00029,2025-03-01,4105.64,10.4,Normal,Normal
LC-0000340,MD-00029,2025-04-01,4119.13,13.49,Normal,Normal
LC-0000341,MD-00029,2025-05-01,4132.07,12.94,Normal,Normal
LC-0000342,MD-00029,2025-06-01,4143.58,11.51,Normal,Normal
LC-0000343,MD-00029,2025-07-01,4154.35,10.77,Normal,Normal
LC-0000344,MD-00029,2025-08-01,4167.15,12.8,Normal,Normal
LC-0000345,MD-00029,2025-09-01,4181.35,14.2,Normal,Normal
LC-0000346,MD-00029,2025-10-01,4193.73,12.38,Normal,Normal
LC-0000347,MD-00029,2025-11-01,4205.59,11.86,Normal,Normal
LC-0000348,MD-00029,2025-12-01,4217.18,11.58,Normal,Normal
LC-0000349,MD-00030,2025-01-01,3873.89,13.62,Normal,Normal
LC-0000350,MD-00030,2025-02-01,3890.46,16.57,Normal,Normal
LC-0000351,MD-00030,2025-03-01,3904.29,13.83,Normal,Normal
LC-0000352,MD-00030,2025-04-01,3919.22,14.93,Normal,Normal
LC-0000353,MD-00030,2025-05-01,3933.33,14.11,Normal,Normal
LC-0000354,MD-00030,2025-06-01,3945.35,12.02,Normal,Normal
LC-0000355,MD-00030,2025-07-01,3957.15,11.8,Normal,Normal
LC-0000356,MD-00030,2025-08-01,3970.6,13.45,Normal,Normal
LC-0000357,MD-00030,2025-09-01,3985.9,15.3,Normal,Normal
LC-0000358,MD-00030,2025-10-01,4000.89,14.99,Normal,Normal
LC-0000359,MD-00030,2025-11-01,4016.03,15.14,Normal,Normal
LC-0000360,MD-00030,2025-12-01,4029.02,12.99,Normal,Normal
LC-0000361,MD-00031,2025-01-01,3559.56,12.69,Normal,Normal
LC-0000362,MD-00031,2025-02-01,3574.9,15.34,Normal,Normal
LC-0000363,MD-00031,2025-03-01,3589.0,14.1,Normal,Normal
LC-0000364,MD-00031,2025-04-01,3604.4,15.4,Normal,Normal
LC-0000365,MD-00031,2025-05-01,3617.72,13.33,Normal,Normal
LC-0000366,MD-00031,2025-06-01,3631.15,13.43,Normal,Normal
LC-0000367,MD-00031,2025-07-01,3645.94,14.79,Normal,Normal
LC-0000368,MD-00031,2025-08-01,3659.18,13.23,Normal,Normal
LC-0000369,MD-00031,2025-09-01,3673.36,14.18,Normal,Normal
